Country,Abbr,Indicator,Data
Belgium,BE,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,20%
Bulgaria,BG,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,13%
Czechia,CZ,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,14%
Denmark,DK,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,24%
Germany,DE,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,14%
Estonia,EE,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,8%
Ireland,IE,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,31%
Greece,EL,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,13%
Spain,ES,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,18%
France,FR,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,8%
Croatia,HR,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,10%
Italy,IT,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,21%
Cyprus,CY,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,23%
Latvia,LV,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,15%
Lithuania,LT,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,26%
Luxembourg,LU,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,14%
Hungary,HU,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,26%
Malta,MT,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,22%
Netherlands,NL,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,18%
Austria,AT,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,25%
Poland,PL,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,23%
Portugal,PT,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,29%
Romania,RO,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,14%
Slovenia,SI,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,12%
Slovakia,SK,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,13%
Finland,FI,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,20%
Sweden,SE,Most critical Cybersecurity skills: Share of companies prioritising development of security and privacy requirements,10%
