nid,title,category,indicator_type,measurement_unit,reference_year,source,description,data_csv,data_json,source_file
216,"Average project size by country","Cybersecurity related projects",public_data,euro,"2001-2025 No data is available for 2002-2004","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects by country, offering valuable insights into their scale and scope.",data/216.csv,data/216.json,6.csv
277,"Average project size per participant types: Average project size for NGOs","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/277.csv,data/277.json,67.csv
278,"Average project size per participant types: Average project size for other participants","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/278.csv,data/278.json,68.csv
279,"Average project size per participant types: Average project size for private companies","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/279.csv,data/279.json,69.csv
280,"Average project size per participant types: Average project size for public entities","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/280.csv,data/280.json,70.csv
281,"Average project size per participant types: Average project size for research institutions","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/281.csv,data/281.json,71.csv
282,"Average project size per participant types: Average project size for SMEs","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/282.csv,data/282.json,72.csv
283,"Average project size per participant types: Average project size for Universities","Cybersecurity related projects",public_data,euro,"2005-2025 No data is available for 2006-2007 ","Multiple sources (see the Methodological Note)","Measures the average budget allocated to projects, categorised by different types of participants. Provides valuable insights into the scale or magnitude of projects.",data/283.csv,data/283.json,73.csv
222,"Average tender size","Cybersecurity related tenders",public_data,euro,2014-2025,Opentender,"Measures the average budget allocated to tenders by country. Provides valuable insights into the scale or magnitude of tenders",data/222.csv,data/222.json,12.csv
238,"Cybersecurity recruitment challenges:
Share of companies challenged by rapidly changing cybersecurity technologies","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Identifies the key obstacles organisations face when trying to recruit staff with the appropriate cybersecurity skills. This indicator helps highlight specific barriers in the cybersecurity talent acquisition process.",data/238.csv,data/238.json,28.csv
