title,"Reference type",Citation,"Concluding Remarks",License,ID,UUID,"Original Publication","Publication Area","Publication Language","Year of Publication",Abstract,"Access Date","Accession Number","Alternate Title",Author,"Date Published",DOI,"ISBN Number","ISSN Number",Issue,Keywords,Label,License,Notes,Number,"Number of Pages","Number of Volumes","Place Published","Short Title",URL,Volume
"Cyber Defense and Situational Awareness",Book,"Cyber Defense and Situational Awareness. (2015). In A. Kott, C. Wang, & R. F. Erbacher (Eds.), Springer International Publishing. https://doi.org/10.1007/978-3-319-11391-3 (Original work published 2014)",,,41,16007ea2-6e54-425f-a1c6-12beda3bbf5f,,"Cybersecurity and defense",,2015,"technologies for cyber security and defense applications",,,,"Alexander Kott, Cliff Wang, Robert F. Erbacher",2014,10.1007/978-3-319-11391-3,,1568-2633,,,,,"Recent research interests have focused on advancing game theory and its applications to cyber systems. Advancement in this line of research may bring insights and new techniques that would help cyber defenders at two distinct levels. In macrolevel strategy, the research would yield a set of guiding principles for cyber operation that can satisfy mission assurance requirements under resource constraint, and under known and assumed threats and attacker capabilities. In micro-level decision support, the research results may point to specifi c actions to deal with real time or near real time threats, in order to defeat ongoing attacks or to prevent future ones. It should be possible to link the two levels (or multi-level) of strategy and decision making.",,,,,,https://link.springer.com/content/pdf/10.1007/978-3-319-11391-3.pdf,
"Enterprise Cybersecurity Study Guide",Book,"Donaldson, S. E., Siegel, S. G., Williams, C. K., & Aslam, A. (2018). Enterprise Cybersecurity Study Guide. In Apress. https://doi.org/10.1007/978-1-4842-3258-3 (Original work published 2018)",,,57,f4dd0fc7-9087-4f1b-a976-960192112d22,,"Cybersecurity and defense",,2018,"Use the methodology in this study guide to design, manage, and operate a balanced enterprise cybersecurity program that is pragmatic and realistic in the face of resource constraints and other real-world limitations. This guide is an instructional companion to the book Enterprise Cybersecurity: How to Build a Successful Cyberdefense Program Against Advanced Threats. The study guide will help you understand the book’s ideas and put them to work. The guide can be used for self-study or in the classroom.",,,,"Scott E. Donaldson, Stanley G. Siegel, Chris K. Williams, Abdul Aslam",2018,10.1007/978-1-4842-3258-3,,,,,,,"Enterprise cybersecurity is about implementing a cyberdefense program that will succeed in defending against real-world attacks. While we often know what should be done, the resources to do it often are not sufficient. The reality is that the Cybersecurity Conundrum—what the defenders request, what the frameworks specify, and what the budget allows versus what the attackers exploit—gets in the way of what needs to be done. Cyberattacks in the headlines affecting millions of people show that this conundrum fails more often than we would prefer.

Cybersecurity professionals want to implement more than what control frameworks specify, and more than what the budget allows. Ironically, another challenge is that even when defenders get everything that they want, clever attackers are extremely effective at finding and exploiting the gaps in those defenses, regardless of their comprehensiveness. Therefore, the cybersecurity challenge is to spend the available budget on the right protections, so that real-world attacks can be thwarted without breaking the bank.

People involved in or interested in successful enterprise cybersecurity can use this study guide to gain insight into a comprehensive framework for coordinating an entire enterprise cyberdefense program.",,,,,,https://link.springer.com/book/10.1007/978-1-4842-3258-3,
"Comparison of Public and Private Sector Cybersecurity and IT Workforces",Book,"Comparison of Public and Private Sector Cybersecurity and IT Workforces. (2023). In RAND Corporation. https://doi.org/10.7249/RRA660-7 (Original work published 2023)",,,86,2b45e0d0-dde9-4a60-8b01-d522c722e731,,"Civilian cybersecurity",,2023,"In this report, we update the research summarized in the Capstone Report with current job
opening data to compare the civilian cybersecurity and IT workforces with those in the US",,,,,2023,10.7249/RRA660-7,,,,,,,"KEY FINDINGS
Overall, the public sector emphasizes the allocation of computer and information technology (IT) support and administrative roles, while the private sector emphasizes the allocation of software development and testing roles.
Not only is the public sector hiring more IT support workers (e.g., Computer User Support Specialists) relative to the private sector, but also it is paying these workers considerably more in annual salaries.
The Information sector shows the greatest demand for Information Security Analysts: It hires most of these workers and is willing to pay them, on average, 20 percent more than other private sector industries and 50 percent more than the public sector.",,,,,,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA600/RRA660-7/RAND_RRA660-7.pdf,
"Cybersecurity of Critical Infrastructure",Book,"Cybersecurity of Critical Infrastructure. (2020). In M. Christen, B. Gordijn, & M. Loi (Eds.), Springer International Publishing. https://doi.org/10.1007/978-3-030-29053-5 (Original work published 2020)",,,92,9e00329b-4b36-49b2-9071-9737e5874c7c,,"Civilian cybersecurity",,2020,"This chapter provides a political and philosophical analysis of the values at stake in ensuring cybersecurity for critical infrastructures. It presents a review of the boundaries of cybersecurity in national security, with a focus on the ethics of surveillance for protecting critical infrastructures and the use of AI. A bibliographic analysis of the literature is applied until 2016 to identify and discuss the cybersecurity value conflicts and ethical issues in national security. This is integrated with an analysis of the most recent literature on cyber-threats to national infrastructure and the role of AI.",,,,"Markus Christen, Bert Gordijn, Michele Loi",2020,10.1007/978-3-030-29053-5,,1875-0044,,,,,"This chapter demonstrates that the increased connectedness of digital and non-digital infrastructure enhances the trade-offs between values identified in the literature of the past years, and supports this thesis with the analysis of four case studies.",,,,,,https://library.oapen.org/bitstream/handle/20.500.12657/47324/9783030290535.pdf?sequence#page=169,
"Developing Cybersecurity Capacity",Book,"Bellasio, J., Flint, R., Ryan, N., Sondergaard, S., Monsalve, C., Meranto, A., & Knack, A. (2018). Developing Cybersecurity Capacity. In RAND Corporation. https://doi.org/10.7249/RR2072 (Original work published 2018)",,,149,25c353b0-bb05-40e3-8dbf-c31e6f068f22,,"Civilian cybersecurity",,2018,"This document is a proof-of-concept operational toolbox designed to facilitate the development of national-level cybersecurity capacity building programmes and of holistic policy and investment strategies to tackle challenges in the cyber domain. The document seeks to enable a better translation of the results of national cyber maturity reviews and assessments into tangible policy recommendations and investment strategies, allowing policymakers to develop their countries' cybersecurity capacity.",,,,"Jacopo Bellasio, Richard Flint, Nathan Ryan, Susanne Sondergaard, Cristina Monsalve, Arya Meranto, Anna Knack",2018,10.7249/RR2072,,,,,,,"This proof-of-concept toolbox presents guidelines and recommended approaches as identified through a review of existing literature for cybersecurity capacity building. The document would be best used to act upon the results and the capacity-building recommendations generated following a review of national cybersecurity capacity conducted by external experts employing the Cybersecurity Capacity Maturity Model for Nations created by the Global Cyber Security Capacity Centre.",,,,,,https://www.rand.org/pubs/research_reports/RR2072.html,
"Technology Assessment of Dual-Use ICTs
How to Assess Diffusion, Governance and Design",Book,"Riebe, T. (2022). Technology Assessment of Dual-Use ICTsHow to Assess Diffusion, Governance and Design. In Springer Fachmedien Wiesbaden. https://doi.org/10.1007/978-3-658-41667-6 (Original work published 2023)",,,180,285ab694-ab88-4ff9-8577-886eae59ecfb,,"Dual-use cybersecurity",,2022,"first examines the diffusion of dual-use innovations between civilian and military research in expert networks on LinkedIn, as well as on the basis of AI patents in a patent network",,,,"Thea Riebe",2023,10.1007/978-3-658-41667-6,,,,,,,"The results show low diffusion and tend to confirm existingstudies on diffusion in patent networks. In the following section, the regulation of dual-use technologies is examined in the paper through two case studies. The first
study uses a discourse analysis to show the value conflicts with regard to the regulation of autonomous weapons systems using the concept of Meaningful Human Control (MHC), while a second study, as a long-term comparative case study, analyzes the change and consequences of the regulation of strong cryptography in the U.S. as well as the programs of intelligence agencies for mass surveillance.",,,,,,https://link.springer.com/content/pdf/10.1007/978-3-658-41667-6.pdf,
"Dual Use Science and Technology, Ethics and Weapons of Mass Destruction",Book,"Miller, S. (2018). Dual Use Science and Technology, Ethics and Weapons of Mass Destruction. In Springer International Publishing. https://doi.org/10.1007/978-3-319-92606-3 (Original work published 2018)",,,198,60966b44-e9e2-4a32-8561-ae1687756b27,,"Dual-use cybersecurity",,2018,"It first explains the concept of dual use and then offers analyses of collective knowledge and collective ignorance. It goes on to present a theory of collective responsibility, followed by four chapters focusing on a particular scientific field or industry of dual use concern: the chemical industry, the nuclear industry, cyber-technology and the biological sciences.",,,,"Seumas Miller",2018,10.1007/978-3-319-92606-3,,2211-8101,,,,,"The problem of dual-use science research and technology arises because such research and technology has the potential to be used for great evil as well as for great good. On the one hand, knowledge is a necessary condition, and perhaps a constitutive feature, of technologies that contribute greatly to individual and collective well-being. Consider, for example, nuclear technology that enables the generation of low cost electricity in populations without obvious alternative energy sources. So technological knowledge is a good thing and ignorance of it a bad thing. On the other hand, these same technologies can be extremely harmful to individuals and collectives, as with the atomic bombs dropped on Hiroshima and Nagasaki. So, at least with respect to some technologies evidently knowledge is a bad thing and ignorance a good thing. Accordingly, the question arises as to whether we ought to limit scientific research and/or the development of technology and, if so, which research or technology, in what manner and to what extent. This book examines the answer to that question.",,,,,,https://link.springer.com/book/10.1007/978-3-319-92606-3,
"How to measure anything in cybersecurity risk",Book,"Hubbard, D. W., & Seiersen, R. (2023). How to measure anything in cybersecurity risk. In Wiley. https://doi.org/10.1002/9781119162315 (Original work published)",,,288,f78aa0bf-57b8-4f06-95a8-b762e53f8627,,"Cybersecurity and defense",,2023,"why cybersecurity needs better  measurement for risks, evolving the model of cybersecurtity risk",,,,"Douglas W. Hubbard, Richard Seiersen",2016-08,10.1002/9781119162315,,,,,,,"heat map of theory and empirical testing",,,,,,https://onlinelibrary.wiley.com/doi/book/10.1002/9781119162315,
"Combining cybersecurity and cyber defense to achieve cyber resilience","Conference Proceedings","Galinec, D., & Steingartner, W. (2017). Combining cybersecurity and cyber defense to achieve cyber resilience. https://doi.org/10.1109/INFORMATICS.2017.8327227 (Original work published)",,,2,2a02fa14-def6-4c68-a124-2b12f59a5638,,"Cybersecurity and defense",,2017,"This paper explores the relationship between cybersecurity and cyber defense, demonstrating how their integration can lead to cyber resilience. Additionally, a novel model of cyber resilience is presented, focusing on ways and means to achieve it in the face of emerging security risks.",,,,"Darko Galinec, William Steingartner",2017-11,10.1109/INFORMATICS.2017.8327227,,,,,,,"Cybersecurity is no longer enough: there is a need for strategy of defense, prevention and response.  Cyber Resilience Model structure and content is
presented, consisting of information security (CIA
triad threats and responses to them i.e. - known knowns),
cybersecurity (non-CIA complex threats, APTs and corresponding responses to them i.e. known unknowns) and cyber resilience (unforeseeable and unpredictable threats and responses to them unknown unknowns).",,,,,,https://ieeexplore.ieee.org/abstract/document/8327227,
"Moving Target Defense Against Advanced Persistent Threats for Cybersecurity Enhancement","Conference Proceedings","Khosravi-Farmad, M., Ramaki, A. A., & Bafghi, A. G. (2018). Moving Target Defense Against Advanced Persistent Threats for Cybersecurity Enhancement. https://doi.org/10.1109/ICCKE.2018.8566531 (Original work published)",,,45,6e0b707b-bd68-490b-8d2d-25a64615d8c2,,"Cybersecurity and defense",,2018,"One of the main security concerns of enterprise-level organizations which provide network-based services is combating with complex cybersecurity attacks like advanced persistent threats (APTs). The main features of these attacks are being multilevel, multi-step, long-term and persistent. Also they use an intrusion kill chain (IKC) model to proceed the attack steps and reach their goals on targets. Traditional security solutions like firewalls and intrusion detection and prevention systems (IDPSs) are not able to prevent APT attack strategies and block them. Recently, deception techniques are proposed to defend network assets against malicious activities during IKC progression. One of the most promising approaches against APT attacks is Moving Target Defense (MTD). MTD techniques can be applied to attack steps of any abstraction levels in a networked infrastructure (application, host, and network) dynamically for disruption of successful execution of any on the fly IKCs.",,,,"Masoud Khosravi-Farmad, Ali Ahmadian Ramaki, Abbas Ghaemi Bafghi",2018-10,10.1109/ICCKE.2018.8566531,,,,,,,"In this paper, after presentation and discussion on common introduced IKCs, one of them is selected and is used for further analysis. Also, after proposing a new and comprehensive taxonomy of MTD techniques in different levels, a mapping analysis is conducted between IKC models and existing MTD techniques. Finally, the effect of MTD is evaluated during a case study (specifically IP Randomization). The experimental results show that the MTD techniques provide better means to defend against IKC-based intrusion activities.",,,,,,https://ieeexplore.ieee.org/abstract/document/8566531,
