project_id,project_acronym,project_title,participant_name,participant_short_name,pic,country,country_code,org_type,is_coordinator,eu_contribution
101127394,5GCTF,"CTF for 5G trainings and cyber-ranges","P1 SECURITY",,883714912,France,FR,sme,yes,855566
101127394,5GCTF,"CTF for 5G trainings and cyber-ranges","PENTHERTZ SAS",,883422457,France,FR,sme,no,357513
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","MINISTERE DE L'INTERIEUR",,999823136,France,FR,public_body,yes,
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","POLICE FEDERALE BELGE",,912824806,Belgium,BE,public_body,no,55156.2
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","SISAMINISTERIO (SM)",,998241357,Finland,FI,public_body,no,125125
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","Netherlands Police",,942970272,Netherlands,NL,public_body,no,133187.5
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","MINISTERIO DEL INTERIOR",,999827501,Spain,ES,public_body,no,46875
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","UNIVERSITEIT GENT",,999986096,Belgium,BE,university,no,358020
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for",UPPERION,,893577484,France,FR,company,no,258431.3
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","IDRYMA TECHNOLOGIAS KAI EREVNAS",,999995893,Greece,GR,research_institution,no,100000
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for",CIVIPOL,,914385924,France,FR,company,no,423125
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","POLISMYNDIGHETEN SWEDISH POLICE AUTHORITY",,921186788,Sweden,SE,public_body,no,
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","Ministerio da Justica",,983734231,Portugal,PT,public_body,no,
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","IEKSLIETU MINISTRIJAS VALSTS POLICIJA STATE POLICE OF THE MINISTRY OF INTERIOR",,924493227,Latvia,LV,public_body,no,
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","BUNDESMINISTERIUM FUR INNERES",,999826434,Austria,AT,public_body,no,
101121338,AHEAD,"TowArd sustainable foresigHt capabilitiEs for","MINISTARSTVO UNUTARNJIH POSLOVA",,931973673,Croatia,HR,public_body,no,
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","FUNDACION TECNALIA RESEARCH & INNOVATION",,999604110,Spain,ES,research_institution,yes,840328
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","PANEPISTIMIO DYTIKIS MAKEDONIAS",,986185518,Greece,GR,university,no,249500
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","MONTIMAGE EURL",,999716242,France,FR,sme,no,504375
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","THALES SIX GTS FRANCE SAS",,999971934,France,FR,company,no,356885
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","SEARCH-LAB BIZTONSAGI ERTEKELO ELEMZO ES KUTATO LABORATORIUM KORLATOLTFELELOSSEGU TARSASAG",,999704893,Hungary,HU,company,no,301250
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","FRONTENDART SZOFTVER KFT",,999615362,Hungary,HU,company,no,215000
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","EUROPEAN ORGANISATION FOR SECURITY",,998215943,Belgium,BE,company,no,193375
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","PDM E FC-PROJECTO DESENVOLVIMENTO MANUTENCAO FORMACAO E CONSULTADORIA S.A.",,999742335,Portugal,PT,sme,no,237075
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","ITTI SP ZOO",,999969509,Poland,PL,sme,no,168000
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","DIMOSIA EPICHEIRISI ILEKTRISMOU ANONYMI ETAIREIA",,999938954,Greece,GR,company,no,235750
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","UNIDADE LOCAL DE SAUDE DO ALENTEJO CENTRAL EPE",,907543544,Portugal,PT,public_body,no,130875
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","CAIXABANK SA",,941682694,Spain,ES,company,no,270375
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","METAMIND INNOVATIONS IKE",,889264185,Greece,GR,company,no,261625
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","METAMIND INNOVATIONS IKE",,889264185,Greece,GR,company,no,
101070450,AI4CYBER,"Trustworthy AI for Cybersecurity","CAIXABANK TECH SL",,875430045,Spain,ES,company,no,34000
101131292,AIAS,"AI-Assisted Cybersecurity","UNIVERSITY OF PIRAEUS RESEARCH CENTER",,999586941,Greece,GR,university,yes,230000
101131292,AIAS,"AI-Assisted Cybersecurity","BEIA CONSULT INTERNATIONAL SRL",,999685687,Romania,RO,company,no,138000
101131292,AIAS,"AI-Assisted Cybersecurity","UNIVERSIDAD DE MALAGA",,999898311,Spain,ES,university,no,193200
101131292,AIAS,"AI-Assisted Cybersecurity",K3Y,,905140563,Bulgaria,BG,sme,no,110400
101131292,AIAS,"AI-Assisted Cybersecurity","ATHINA-EREVNITIKO KENTRO KAINOTOMIAS STIS TECHNOLOGIES TIS PLIROFORIAS, TON EPIKOINONION KAI TIS GNOSIS",,999562788,Greece,GR,research_institution,no,161000
101131292,AIAS,"AI-Assisted Cybersecurity","SUITE5 DATA INTELLIGENCE SOLUTIONS LIMITED",,910462080,Cyprus,CY,company,no,138000
101131292,AIAS,"AI-Assisted Cybersecurity","CONSORZIO NAZIONALE INTERUNIVERSITARIO PER LE TELECOMUNICAZIONI",,999649603,Italy,IT,university,no,207000
101131292,AIAS,"AI-Assisted Cybersecurity","FOGUS INNOVATIONS & SERVICES P.C.",,917691296,Greece,GR,company,no,138000
101131292,AIAS,"AI-Assisted Cybersecurity","UNIVERSITAT POLITECNICA DE VALENCIA",,999864846,Spain,ES,university,no,138000
101131292,AIAS,"AI-Assisted Cybersecurity","PDM E FC-PROJECTO DESENVOLVIMENTO MANUTENCAO FORMACAO E CONSULTADORIA S.A.",,999742335,Portugal,PT,sme,no,110400
101127968,ATHENA,"Establishing Cross-border SOCs","ARCHI PSIFIAKIS ASFALEIAS",,905199442,Cyprus,CY,public_body,yes,1602366.56
101127968,ATHENA,"Establishing Cross-border SOCs","YPOURGEIO PSIFIAKIS DIAKYVERNISIS",,912193239,Greece,GR,public_body,no,
101127968,ATHENA,"Establishing Cross-border SOCs","MINISTERSTVO NA ELEKTRONNOTO UPRAVLENIE",,887012427,Bulgaria,BG,public_body,no,253804
101127968,ATHENA,"Establishing Cross-border SOCs","MINISTRY FOR HOME AFFAIRS, SECURITY AND EMPLOYMENT",,915832291,Malta,MT,public_body,no,199490.8
101127968,ATHENA,"Establishing Cross-border SOCs","ETHNIKI ARCHI KYVERNOASFALEIAS",,877132007,Greece,GR,public_body,no,301954
